Code Domaine;Domaine;Code zone (FAO);Zone;Code Élément;Élément;Code Produit;Produit;Code année;Année;Unité;Valeur;Symbole;Description du Symbole;Note
MK;Indicateurs macro;162;Norvège;6119;Valeur US $ par habitant;22008;Produit Intérieur Brut;2017;2017;US$;75220.814442;X;Sources internationales sûres;
MK;Indicateurs macro;153;Nouvelle-Calédonie;6119;Valeur US $ par habitant;22008;Produit Intérieur Brut;2017;2017;US$;34128.634001;X;Sources internationales sûres;
MK;Indicateurs macro;156;Nouvelle-Zélande;6119;Valeur US $ par habitant;22008;Produit Intérieur Brut;2017;2017;US$;43686.597089;X;Sources internationales sûres;
MK;Indicateurs macro;221;Oman;6119;Valeur US $ par habitant;22008;Produit Intérieur Brut;2017;2017;US$;15130.543438;X;Sources internationales sûres;
MK;Indicateurs macro;226;Ouganda;6119;Valeur US $ par habitant;22008;Produit Intérieur Brut;2017;2017;US$;658.668824;X;Sources internationales sûres;
MK;Indicateurs macro;235;Ouzbékistan;6119;Valeur US $ par habitant;22008;Produit Intérieur Brut;2017;2017;US$;1851.074677;X;Sources internationales sûres;
MK;Indicateurs macro;165;Pakistan;6119;Valeur US $ par habitant;22008;Produit Intérieur Brut;2017;2017;US$;1455.991742;X;Sources internationales sûres;
MK;Indicateurs macro;180;Palaos;6119;Valeur US $ par habitant;22008;Produit Intérieur Brut;2017;2017;US$;16148.026898;X;Sources internationales sûres;
MK;Indicateurs macro;299;Palestine;6119;Valeur US $ par habitant;22008;Produit Intérieur Brut;2017;2017;US$;3397.351759;X;Sources internationales sûres;
MK;Indicateurs macro;166;Panama;6119;Valeur US $ par habitant;22008;Produit Intérieur Brut;2017;2017;US$;15146.390071;X;Sources internationales sûres;
MK;Indicateurs macro;168;Papouasie-Nouvelle-Guinée;6119;Valeur US $ par habitant;22008;Produit Intérieur Brut;2017;2017;US$;2695.259466;X;Sources internationales sûres;
MK;Indicateurs macro;169;Paraguay;6119;Valeur US $ par habitant;22008;Produit Intérieur Brut;2017;2017;US$;5680.581644;X;Sources internationales sûres;
MK;Indicateurs macro;150;Pays-Bas;6119;Valeur US $ par habitant;22008;Produit Intérieur Brut;2017;2017;US$;48989.638816;X;Sources internationales sûres;
