Code Domaine;Domaine;Code zone (FAO);Zone;Code Élément;Élément;Code Produit;Produit;Code année;Année;Unité;Valeur;Symbole;Description du Symbole
FBS;Nouveaux Bilans Alimentaire;80;Bosnie-Herzégovine;674;Disponibilité de protéines en quantité (g/personne/jour);2941;Produits Animaux;2017;2017;g/personne/jour;36.22;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;20;Botswana;664;Disponibilité alimentaire (Kcal/personne/jour);2903;Produits Vegetaux;2017;2017;Kcal/personne/jour;1975;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;20;Botswana;674;Disponibilité de protéines en quantité (g/personne/jour);2903;Produits Vegetaux;2017;2017;g/personne/jour;38.74;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;20;Botswana;664;Disponibilité alimentaire (Kcal/personne/jour);2941;Produits Animaux;2017;2017;Kcal/personne/jour;366;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;20;Botswana;674;Disponibilité de protéines en quantité (g/personne/jour);2941;Produits Animaux;2017;2017;g/personne/jour;25.91;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;21;Brésil;664;Disponibilité alimentaire (Kcal/personne/jour);2903;Produits Vegetaux;2017;2017;Kcal/personne/jour;2395;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;21;Brésil;674;Disponibilité de protéines en quantité (g/personne/jour);2903;Produits Vegetaux;2017;2017;g/personne/jour;40.99;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;21;Brésil;664;Disponibilité alimentaire (Kcal/personne/jour);2941;Produits Animaux;2017;2017;Kcal/personne/jour;855;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;21;Brésil;674;Disponibilité de protéines en quantité (g/personne/jour);2941;Produits Animaux;2017;2017;g/personne/jour;53.13;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;27;Bulgarie;664;Disponibilité alimentaire (Kcal/personne/jour);2903;Produits Vegetaux;2017;2017;Kcal/personne/jour;2137;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;27;Bulgarie;674;Disponibilité de protéines en quantité (g/personne/jour);2903;Produits Vegetaux;2017;2017;g/personne/jour;44.16;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;27;Bulgarie;664;Disponibilité alimentaire (Kcal/personne/jour);2941;Produits Animaux;2017;2017;Kcal/personne/jour;689;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;27;Bulgarie;674;Disponibilité de protéines en quantité (g/personne/jour);2941;Produits Animaux;2017;2017;g/personne/jour;41.32;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;233;Burkina Faso;664;Disponibilité alimentaire (Kcal/personne/jour);2903;Produits Vegetaux;2017;2017;Kcal/personne/jour;2565;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;233;Burkina Faso;674;Disponibilité de protéines en quantité (g/personne/jour);2903;Produits Vegetaux;2017;2017;g/personne/jour;66.5;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;233;Burkina Faso;664;Disponibilité alimentaire (Kcal/personne/jour);2941;Produits Animaux;2017;2017;Kcal/personne/jour;156;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;233;Burkina Faso;674;Disponibilité de protéines en quantité (g/personne/jour);2941;Produits Animaux;2017;2017;g/personne/jour;11.17;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;35;Cabo Verde;664;Disponibilité alimentaire (Kcal/personne/jour);2903;Produits Vegetaux;2017;2017;Kcal/personne/jour;2097;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;35;Cabo Verde;674;Disponibilité de protéines en quantité (g/personne/jour);2903;Produits Vegetaux;2017;2017;g/personne/jour;43.88;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;35;Cabo Verde;664;Disponibilité alimentaire (Kcal/personne/jour);2941;Produits Animaux;2017;2017;Kcal/personne/jour;432;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;35;Cabo Verde;674;Disponibilité de protéines en quantité (g/personne/jour);2941;Produits Animaux;2017;2017;g/personne/jour;26.73;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;115;Cambodge;664;Disponibilité alimentaire (Kcal/personne/jour);2903;Produits Vegetaux;2017;2017;Kcal/personne/jour;2292;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;115;Cambodge;674;Disponibilité de protéines en quantité (g/personne/jour);2903;Produits Vegetaux;2017;2017;g/personne/jour;46.94;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;115;Cambodge;664;Disponibilité alimentaire (Kcal/personne/jour);2941;Produits Animaux;2017;2017;Kcal/personne/jour;210;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;115;Cambodge;674;Disponibilité de protéines en quantité (g/personne/jour);2941;Produits Animaux;2017;2017;g/personne/jour;19.26;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;32;Cameroun;664;Disponibilité alimentaire (Kcal/personne/jour);2903;Produits Vegetaux;2017;2017;Kcal/personne/jour;2598;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;32;Cameroun;674;Disponibilité de protéines en quantité (g/personne/jour);2903;Produits Vegetaux;2017;2017;g/personne/jour;59.58;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;32;Cameroun;664;Disponibilité alimentaire (Kcal/personne/jour);2941;Produits Animaux;2017;2017;Kcal/personne/jour;119;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;32;Cameroun;674;Disponibilité de protéines en quantité (g/personne/jour);2941;Produits Animaux;2017;2017;g/personne/jour;11.47;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;33;Canada;664;Disponibilité alimentaire (Kcal/personne/jour);2903;Produits Vegetaux;2017;2017;Kcal/personne/jour;2634;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;33;Canada;674;Disponibilité de protéines en quantité (g/personne/jour);2903;Produits Vegetaux;2017;2017;g/personne/jour;49.28;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;33;Canada;664;Disponibilité alimentaire (Kcal/personne/jour);2941;Produits Animaux;2017;2017;Kcal/personne/jour;866;Fc;Donnée calculée
